gene_symbol,gene_name,entrez_id,chromosome
CD86,CD86 molecule,942.0,3
TNFRSF8,"tumor necrosis factor receptor superfamily, member 8",943.0,1
TNFSF8,"tumor necrosis factor (ligand) superfamily, member 8",944.0,9
SIGLEC6,sialic acid binding Ig-like lectin 6,946.0,19
SCARB1,"scavenger receptor class B, member 1",949.0,12
SCARB2,"scavenger receptor class B, member 2",950.0,4
CD37,CD37 molecule,951.0,19
CD38,CD38 molecule,952.0,4
ENTPD2,ectonucleoside triphosphate diphosphohydrolase 2,954.0,9
ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3,956.0,3
ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5,957.0,14
CD40,"CD40 molecule, TNF receptor superfamily member 5",958.0,20
CD40LG,CD40 ligand,959.0,X
CD48,CD48 molecule,962.0,1
CD53,CD53 molecule,963.0,1
CD69,CD69 molecule,969.0,12
CD70,CD70 molecule,970.0,19
CD72,CD72 molecule,971.0,9
CD81,CD81 molecule,975.0,11
CDA,cytidine deaminase,978.0,1
LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",987.0,4
CDC5L,CDC5 cell division cycle 5-like (S. pombe),988.0,6
SEPT7,septin 7,989.0,7
CDC6,cell division cycle 6 homolog (S. cerevisiae),990.0,17
CDC20,cell division cycle 20 homolog (S. cerevisiae),991.0,1
CDC25C,cell division cycle 25 homolog C (S. pombe),995.0,5
CDC34,cell division cycle 34 homolog (S. cerevisiae),997.0,19
CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",999.0,16
CDH2,"cadherin 2, type 1, N-cadherin (neuronal)",1000.0,18
CDH3,"cadherin 3, type 1, P-cadherin (placental)",1001.0,16
CDH4,"cadherin 4, type 1, R-cadherin (retinal)",1002.0,20
CDH6,"cadherin 6, type 2, K-cadherin (fetal kidney)",1004.0,5
CDH8,"cadherin 8, type 2",1006.0,16
CDH9,"cadherin 9, type 2 (T1-cadherin)",1007.0,5
CDH10,"cadherin 10, type 2 (T2-cadherin)",1008.0,5
CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1009.0,16
CDH12,"cadherin 12, type 2 (N-cadherin 2)",1010.0,5
CDH13,"cadherin 13, H-cadherin (heart)",1012.0,16
CDH15,"cadherin 15, type 1, M-cadherin (myotubule)",1013.0,16
CDH16,"cadherin 16, KSP-cadherin",1014.0,16
CDH18,"cadherin 18, type 2",1016.0,5
CDK2,cyclin-dependent kinase 2,1017.0,12
CDK3,cyclin-dependent kinase 3,1018.0,17
CDK4,cyclin-dependent kinase 4,1019.0,12
CDK5,cyclin-dependent kinase 5,1020.0,7
CDK7,cyclin-dependent kinase 7,1022.0,5
CDK8,cyclin-dependent kinase 8,1024.0,13
CDK9,cyclin-dependent kinase 9,1025.0,9
CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",1026.0,6
CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1027.0,12
CDKN2A,cyclin-dependent kinase inhibitor 2A,1029.0,9
CDKN2D,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",1032.0,19
CDKN3,cyclin-dependent kinase inhibitor 3,1033.0,14
CDO1,"cysteine dioxygenase, type I",1036.0,5
CDR1,"cerebellar degeneration-related protein 1, 34kDa",1038.0,X
CDS1,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,1040.0,4
CDSN,corneodesmosin,1041.0,6
CD52,CD52 molecule,1043.0,1
CDX1,caudal type homeobox 1,1044.0,5
CDX2,caudal type homeobox 2,1045.0,13
CISH,cytokine inducible SH2-containing protein,1154.0,3
TBCB,tubulin folding cofactor B,1155.0,19
CKM,"creatine kinase, muscle",1158.0,19
CKMT1B,"creatine kinase, mitochondrial 1B",1159.0,15
ERCC8,"excision repair cross-complementing rodent repair deficiency, complementation group 8",1161.0,5
CKS2,CDC28 protein kinase regulatory subunit 2,1164.0,9
AP1S1,"adaptor-related protein complex 1, sigma 1 subunit",1174.0,7
CLC,Charcot-Leyden crystal protein,1178.0,19
CLCN1,"chloride channel, voltage-sensitive 1",1180.0,7
CLCN2,"chloride channel, voltage-sensitive 2",1181.0,3
CLCN4,"chloride channel, voltage-sensitive 4",1183.0,X
CLCN6,"chloride channel, voltage-sensitive 6",1185.0,1
CLCNKB,"chloride channel, voltage-sensitive Kb",1188.0,1
CLIC1,chloride intracellular channel 1,1192.0,6
TPP1,tripeptidyl peptidase I,1200.0,11
CLN5,"ceroid-lipofuscinosis, neuronal 5",1203.0,13
CLNS1A,"chloride channel, nucleotide-sensitive, 1A",1207.0,11
CLPS,"colipase, pancreatic",1208.0,6
CLPTM1,cleft lip and palate associated transmembrane protein 1,1209.0,19
CLTB,"clathrin, light chain B",1212.0,5
CLTC,"clathrin, heavy chain (Hc)",1213.0,17
CMA1,"chymase 1, mast cell",1215.0,14
CCR1,chemokine (C-C motif) receptor 1,1230.0,3
CCR3,chemokine (C-C motif) receptor 3,1232.0,3
CCR4,chemokine (C-C motif) receptor 4,1233.0,3
CCR5,chemokine (C-C motif) receptor 5 (gene/pseudogene),1234.0,3
CCR6,chemokine (C-C motif) receptor 6,1235.0,6
CCR7,chemokine (C-C motif) receptor 7,1236.0,17
CCR8,chemokine (C-C motif) receptor 8,1237.0,3
CCBP2,chemokine binding protein 2,1238.0,3
LTB4R,leukotriene B4 receptor,1241.0,14
ABCC2,"ATP-binding cassette, sub-family C (CFTR/MRP), member 2",1244.0,10
CNGA2,cyclic nucleotide gated channel alpha 2,1260.0,X
CNN1,"calponin 1, basic, smooth muscle",1264.0,19
CNN3,"calponin 3, acidic",1266.0,1
CNR2,cannabinoid receptor 2 (macrophage),1269.0,1
CNTF,ciliary neurotrophic factor,1270.0,11
CNTN1,contactin 1,1272.0,12
COL1A1,"collagen, type I, alpha 1",1277.0,17
COL1A2,"collagen, type I, alpha 2",1278.0,7
COL2A1,"collagen, type II, alpha 1",1280.0,12
COL3A1,"collagen, type III, alpha 1",1281.0,2
COL4A1,"collagen, type IV, alpha 1",1282.0,13
COL4A2,"collagen, type IV, alpha 2",1284.0,13
COL4A3,"collagen, type IV, alpha 3 (Goodpasture antigen)",1285.0,2
COL4A4,"collagen, type IV, alpha 4",1286.0,2
COL4A6,"collagen, type IV, alpha 6",1288.0,X
COL5A2,"collagen, type V, alpha 2",1290.0,2
COL6A3,"collagen, type VI, alpha 3",1293.0,2
COL7A1,"collagen, type VII, alpha 1",1294.0,3
COL8A2,"collagen, type VIII, alpha 2",1296.0,1
COL9A1,"collagen, type IX, alpha 1",1297.0,6
COL9A2,"collagen, type IX, alpha 2",1298.0,1
COL9A3,"collagen, type IX, alpha 3",1299.0,20
CA5A,"carbonic anhydrase VA, mitochondrial",763.0,16
CA6,carbonic anhydrase VI,765.0,1
CA8,carbonic anhydrase VIII,767.0,8
CA9,carbonic anhydrase IX,768.0,9
CA11,carbonic anhydrase XI,770.0,19
DDR1,discoidin domain receptor tyrosine kinase 1,780.0,6
CACNB1,"calcium channel, voltage-dependent, beta 1 subunit",782.0,17
CACNB3,"calcium channel, voltage-dependent, beta 3 subunit",784.0,12
CACNG1,"calcium channel, voltage-dependent, gamma subunit 1",786.0,17
SLC25A20,"solute carrier family 25 (carnitine/acylcarnitine translocase), member 20",788.0,3
CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",790.0,2
CALB1,"calbindin 1, 28kDa",793.0,8
CALB2,calbindin 2,794.0,16
S100G,S100 calcium binding protein G,795.0,X
CALCB,calcitonin-related polypeptide beta,797.0,11
CALCR,calcitonin receptor,799.0,7
CALR,calreticulin,811.0,19
CAMK4,calcium/calmodulin-dependent protein kinase IV,814.0,5
CAMK2B,calcium/calmodulin-dependent protein kinase II beta,816.0,7
CAMK2G,calcium/calmodulin-dependent protein kinase II gamma,818.0,10
CAMLG,calcium modulating ligand,819.0,5
CAMP,cathelicidin antimicrobial peptide,820.0,3
CAPG,"capping protein (actin filament), gelsolin-like",822.0,2
CAPN1,"calpain 1, (mu/I) large subunit",823.0,11
CAPN2,"calpain 2, (m/II) large subunit",824.0,1
CAPN6,calpain 6,827.0,X
CAPZA1,"capping protein (actin filament) muscle Z-line, alpha 1",829.0,1
CAPZA2,"capping protein (actin filament) muscle Z-line, alpha 2",830.0,7
CAPZB,"capping protein (actin filament) muscle Z-line, beta",832.0,1
CASQ1,"calsequestrin 1 (fast-twitch, skeletal muscle)",844.0,1
CASQ2,calsequestrin 2 (cardiac muscle),845.0,1
CASR,calcium-sensing receptor,846.0,3
CAT,catalase,847.0,11
CAV1,"caveolin 1, caveolae protein, 22kDa",857.0,7
CAV2,caveolin 2,858.0,7
CAV3,caveolin 3,859.0,3
RUNX2,runt-related transcription factor 2,860.0,6
CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3",863.0,16
RUNX3,runt-related transcription factor 3,864.0,1
COL10A1,"collagen, type X, alpha 1",1300.0,6
COL13A1,"collagen, type XIII, alpha 1",1305.0,10
COL15A1,"collagen, type XV, alpha 1",1306.0,9
COL16A1,"collagen, type XVI, alpha 1",1307.0,1
COL17A1,"collagen, type XVII, alpha 1",1308.0,10
COL19A1,"collagen, type XIX, alpha 1",1310.0,6
COMP,cartilage oligomeric matrix protein,1311.0,19
SLC31A1,"solute carrier family 31 (copper transporters), member 1",1317.0,9
SLC31A2,"solute carrier family 31 (copper transporters), member 2",1318.0,9
MAP3K8,mitogen-activated protein kinase kinase kinase 8,1326.0,10
COX4I1,cytochrome c oxidase subunit IV isoform 1,1327.0,16
COX5B,cytochrome c oxidase subunit Vb,1329.0,2
COX6A1,cytochrome c oxidase subunit VIa polypeptide 1,1337.0,12
COX6A2,cytochrome c oxidase subunit VIa polypeptide 2,1339.0,16
COX6B1,cytochrome c oxidase subunit VIb polypeptide 1 (ubiquitous),1340.0,19
COX6C,cytochrome c oxidase subunit VIc,1345.0,8
COX7A1,cytochrome c oxidase subunit VIIa polypeptide 1 (muscle),1346.0,19
COX7A2,cytochrome c oxidase subunit VIIa polypeptide 2 (liver),1347.0,6
COX7B,cytochrome c oxidase subunit VIIb,1349.0,X
COX7C,cytochrome c oxidase subunit VIIc,1350.0,5
COX8A,cytochrome c oxidase subunit VIIIA (ubiquitous),1351.0,11
COX10,"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)",1352.0,17
COX11,COX11 cytochrome c oxidase assembly homolog (yeast),1353.0,17
COX15,"COX15 homolog, cytochrome c oxidase assembly protein (yeast)",1355.0,10
CP,ceruloplasmin (ferroxidase),1356.0,3
CPA1,carboxypeptidase A1 (pancreatic),1357.0,7
CPA2,carboxypeptidase A2 (pancreatic),1358.0,7
CPA3,carboxypeptidase A3 (mast cell),1359.0,3
CPB1,carboxypeptidase B1 (tissue),1360.0,3
CPB2,carboxypeptidase B2 (plasma),1361.0,13
CPD,carboxypeptidase D,1362.0,17
CPE,carboxypeptidase E,1363.0,4
CLDN4,claudin 4,1364.0,7
CLDN3,claudin 3,1365.0,7
CLDN7,claudin 7,1366.0,17
CPN1,"carboxypeptidase N, polypeptide 1",1369.0,10
CPOX,coproporphyrinogen oxidase,1371.0,3
CPT1A,carnitine palmitoyltransferase 1A (liver),1374.0,11
CPT2,carnitine palmitoyltransferase 2,1376.0,1
CR2,complement component (3d/Epstein Barr virus) receptor 2,1380.0,1
CRABP1,cellular retinoic acid binding protein 1,1381.0,15
CRABP2,cellular retinoic acid binding protein 2,1382.0,1
CREB1,cAMP responsive element binding protein 1,1385.0,2
CX3CR1,chemokine (C-X3-C motif) receptor 1,1524.0,3
CXADR,coxsackie virus and adenovirus receptor,1525.0,21
TEX28,testis expressed 28,1527.0,X
CYB5A,cytochrome b5 type A (microsomal),1528.0,18
CYBA,"cytochrome b-245, alpha polypeptide",1535.0,16
CYBB,"cytochrome b-245, beta polypeptide",1536.0,X
CYC1,cytochrome c-1,1537.0,8
CYLC2,"cylicin, basic protein of sperm head cytoskeleton 2",1539.0,9
CYLD,cylindromatosis (turban tumor syndrome),1540.0,16
CYP1A1,"cytochrome P450, family 1, subfamily A, polypeptide 1",1543.0,15
CYP1A2,"cytochrome P450, family 1, subfamily A, polypeptide 2",1544.0,15
CYP1B1,"cytochrome P450, family 1, subfamily B, polypeptide 1",1545.0,2
CYP2A6,"cytochrome P450, family 2, subfamily A, polypeptide 6",1548.0,19
CYP3A7,"cytochrome P450, family 3, subfamily A, polypeptide 7",1551.0,7
CYP2A13,"cytochrome P450, family 2, subfamily A, polypeptide 13",1553.0,19
CYP2B7P1,"cytochrome P450, family 2, subfamily B, polypeptide 6",1555.0,19
CYP2C19,"cytochrome P450, family 2, subfamily C, polypeptide 19",1557.0,10
CYP2C8,"cytochrome P450, family 2, subfamily C, polypeptide 8",1558.0,10
CYP2C9,"cytochrome P450, family 2, subfamily C, polypeptide 9",1559.0,10
CYP2E1,"cytochrome P450, family 2, subfamily E, polypeptide 1",1571.0,10
CYP2F1,"cytochrome P450, family 2, subfamily F, polypeptide 1",1572.0,19
CYP2J2,"cytochrome P450, family 2, subfamily J, polypeptide 2",1573.0,1
CYP3A4,"cytochrome P450, family 3, subfamily A, polypeptide 4",1576.0,7
CYP3A5,"cytochrome P450, family 3, subfamily A, polypeptide 5",1577.0,7
CYP4A11,"cytochrome P450, family 4, subfamily A, polypeptide 11",1579.0,1
CYP7A1,"cytochrome P450, family 7, subfamily A, polypeptide 1",1581.0,8
CYP8B1,"cytochrome P450, family 8, subfamily B, polypeptide 1",1582.0,3
CYP11B1,"cytochrome P450, family 11, subfamily B, polypeptide 1",1584.0,8
CYP11B2,"cytochrome P450, family 11, subfamily B, polypeptide 2",1585.0,8
CYP17A1,"cytochrome P450, family 17, subfamily A, polypeptide 1",1586.0,10
CYP19A1,"cytochrome P450, family 19, subfamily A, polypeptide 1",1588.0,15
CYP21A2,"cytochrome P450, family 21, subfamily A, polypeptide 2",1589.0,6
CYP27A1,"cytochrome P450, family 27, subfamily A, polypeptide 1",1593.0,2
CYP27B1,"cytochrome P450, family 27, subfamily B, polypeptide 1",1594.0,12
CYP51A1,"cytochrome P450, family 51, subfamily A, polypeptide 1",1595.0,7
DAB1,disabled homolog 1 (Drosophila),1600.0,1
DAB2,"disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)",1601.0,5
DAD1,defender against cell death 1,1603.0,14
DAG1,dystroglycan 1 (dystrophin-associated glycoprotein 1),1605.0,3
DGKB,"diacylglycerol kinase, beta 90kDa",1607.0,7
DGKQ,"diacylglycerol kinase, theta 110kDa",1609.0,4
DAO,D-amino-acid oxidase,1610.0,12
DAP,death-associated protein,1611.0,5
DAPK1,death-associated protein kinase 1,1612.0,9
DAPK3,death-associated protein kinase 3,1613.0,19
DARS,aspartyl-tRNA synthetase,1615.0,2
DAXX,death-domain associated protein,1616.0,6
DAZ1,deleted in azoospermia 1,1617.0,Y
DAZL,deleted in azoospermia-like,1618.0,3
DBC1,deleted in bladder cancer 1,1620.0,9
DBH,dopamine beta-hydroxylase (dopamine beta-monooxygenase),1621.0,9
DBP,D site of albumin promoter (albumin D-box) binding protein,1628.0,19
DBT,dihydrolipoamide branched chain transacylase E2,1629.0,1
DCC,deleted in colorectal carcinoma,1630.0,18
DCI,enoyl-CoA delta isomerase 1,1632.0,16
DCK,deoxycytidine kinase,1633.0,4
ACE,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1,1636.0,17
DDB1,"damage-specific DNA binding protein 1, 127kDa",1642.0,11
DDB2,"damage-specific DNA binding protein 2, 48kDa",1643.0,11
CDX4,caudal type homeobox 4,1046.0,X
CEACAM5,carcinoembryonic antigen-related cell adhesion molecule 5,1048.0,19
CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",1050.0,19
CEBPB,"CCAAT/enhancer binding protein (C/EBP), beta",1051.0,20
CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta",1052.0,8
CEBPE,"CCAAT/enhancer binding protein (C/EBP), epsilon",1053.0,14
CEBPG,"CCAAT/enhancer binding protein (C/EBP), gamma",1054.0,19
CEL,carboxyl ester lipase (bile salt-stimulated lipase),1056.0,9
CENPA,centromere protein A,1058.0,2
CENPB,"centromere protein B, 80kDa",1059.0,20
CENPC1,centromere protein C 1,1060.0,4
CENPE,"centromere protein E, 312kDa",1062.0,4
CENPF,"centromere protein F, 350/400kDa (mitosin)",1063.0,1
CETN1,"centrin, EF-hand protein, 1",1068.0,18
CETN2,"centrin, EF-hand protein, 2",1069.0,X
CETN3,"centrin, EF-hand protein, 3",1070.0,5
CETP,"cholesteryl ester transfer protein, plasma",1071.0,16
CFL1,cofilin 1 (non-muscle),1072.0,11
CFL2,cofilin 2 (muscle),1073.0,14
CTSC,cathepsin C,1075.0,11
CGA,"glycoprotein hormones, alpha polypeptide",1081.0,6
CEACAM3,carcinoembryonic antigen-related cell adhesion molecule 3,1084.0,19
CEACAM7,carcinoembryonic antigen-related cell adhesion molecule 7,1087.0,19
CEACAM8,carcinoembryonic antigen-related cell adhesion molecule 8,1088.0,19
CEACAM4,carcinoembryonic antigen-related cell adhesion molecule 4,1089.0,19
CHAD,chondroadherin,1101.0,17
RCBTB2,regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2,1102.0,13
CHD1,chromodomain helicase DNA binding protein 1,1105.0,5
CHD2,chromodomain helicase DNA binding protein 2,1106.0,15
CHD4,chromodomain helicase DNA binding protein 4,1108.0,12
AKR1C4,"aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)",1109.0,10
CHGA,chromogranin A (parathyroid secretory protein 1),1113.0,14
CHGB,chromogranin B (secretogranin 1),1114.0,20
CHI3L1,chitinase 3-like 1 (cartilage glycoprotein-39),1116.0,1
CHIT1,chitinase 1 (chitotriosidase),1118.0,1
CHKB,choline kinase beta,1120.0,22
CHM,choroideremia (Rab escort protein 1),1121.0,X
CHML,choroideremia-like (Rab escort protein 2),1122.0,1
CHN1,chimerin (chimaerin) 1,1123.0,2
AKR1C1,"aldo-keto reductase family 1, member C1 (dihydrodiol dehydrogenase 1; 20-alpha (3-alpha)-hydroxysteroid dehydrogenase)",1645.0,10
GADD45A,"growth arrest and DNA-damage-inducible, alpha",1647.0,1
DDIT3,DNA-damage-inducible transcript 3,1649.0,12
DDOST,dolichyl-diphosphooligosaccharide--protein glycosyltransferase,1650.0,1
DDX1,DEAD (Asp-Glu-Ala-Asp) box helicase 1,1653.0,2
DDX3X,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, X-linked",1654.0,X
DDX5,DEAD (Asp-Glu-Ala-Asp) box helicase 5,1655.0,17
DDX6,DEAD (Asp-Glu-Ala-Asp) box helicase 6,1656.0,11
DMXL1,Dmx-like 1,1657.0,5
DHX8,DEAH (Asp-Glu-Ala-His) box polypeptide 8,1659.0,17
DDX10,DEAD (Asp-Glu-Ala-Asp) box polypeptide 10,1662.0,11
DHX15,DEAH (Asp-Glu-Ala-His) box polypeptide 15,1665.0,4
DECR1,"2,4-dienoyl CoA reductase 1, mitochondrial",1666.0,8
DEFA3,"defensin, alpha 3, neutrophil-specific",1668.0,8
DEFA4,"defensin, alpha 4, corticostatin",1669.0,8
DEFA5,"defensin, alpha 5, Paneth cell-specific",1670.0,8
DEFA6,"defensin, alpha 6, Paneth cell-specific",1671.0,8
DEFB1,"defensin, beta 1",1672.0,8
DEFB4,"defensin, beta 4A",1673.0,8
DES,desmin,1674.0,2
CFD,complement factor D (adipsin),1675.0,19
DFFA,"DNA fragmentation factor, 45kDa, alpha polypeptide",1676.0,1
TIMM8A,translocase of inner mitochondrial membrane 8 homolog A (yeast),1678.0,X
DFNA5,"deafness, autosomal dominant 5",1687.0,7
DHCR7,7-dehydrocholesterol reductase,1717.0,11
DHCR24,24-dehydrocholesterol reductase,1718.0,1
DHFRP1,dihydrofolate reductase,1719.0,5
DHODH,dihydroorotate dehydrogenase (quinone),1723.0,16
DHPS,deoxyhypusine synthase,1725.0,19
CYB5R3,cytochrome b5 reductase 3,1727.0,22
SEPT1,septin 1,1731.0,16
DKC1,"dyskeratosis congenita 1, dyskerin",1736.0,X
DLAT,dihydrolipoamide S-acetyltransferase,1737.0,11
DLD,dihydrolipoamide dehydrogenase,1738.0,7
DLG4,"discs, large homolog 4 (Drosophila)",1742.0,17
DLSTP,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),1743.0,14
DLX2,distal-less homeobox 2,1746.0,2
DPYSL2,dihydropyrimidinase-like 2,1808.0,8
DPYSL3,dihydropyrimidinase-like 3,1809.0,5
DR1,"down-regulator of transcription 1, TBP-binding (negative cofactor 2)",1810.0,1
SLC26A3,"solute carrier family 26, member 3",1811.0,7
DRD2,dopamine receptor D2,1813.0,11
DRD4,dopamine receptor D4,1815.0,11
DSPP,dentin sialophosphoprotein,1834.0,4
SLC26A2,"solute carrier family 26 (sulfate transporter), member 2",1836.0,5
DTNA,"dystrobrevin, alpha",1837.0,18
DTNB,"dystrobrevin, beta",1838.0,2
HBEGF,heparin-binding EGF-like growth factor,1839.0,5
DTX1,deltex homolog 1 (Drosophila),1840.0,12
DTYMK,deoxythymidylate kinase (thymidylate kinase),1841.0,2
ECM2,"extracellular matrix protein 2, female organ and adipocyte specific",1842.0,9
DUSP1,dual specificity phosphatase 1,1843.0,5
DUSP3,dual specificity phosphatase 3,1845.0,17
DUSP4,dual specificity phosphatase 4,1846.0,8
DUSP,dual specificity phosphatase 5,1847.0,10
DUSP6,dual specificity phosphatase 6,1848.0,12
DUSP7,dual specificity phosphatase 7,1849.0,3
ATF2,activating transcription factor 2,1386.0,2
CREBL2,cAMP responsive element binding protein-like 2,1389.0,12
CREM,cAMP responsive element modulator,1390.0,10
CRH,corticotropin releasing hormone,1392.0,8
CRHBP,corticotropin releasing hormone binding protein,1393.0,5
CRHR2,corticotropin releasing hormone receptor 2,1395.0,7
CRIP1,cysteine-rich protein 1 (intestinal),1396.0,14
CRIP2,cysteine-rich protein 2,1397.0,14
CRKL,v-crk sarcoma virus CT10 oncogene homolog (avian)-like,1399.0,22
CRP,"C-reactive protein, pentraxin-related",1401.0,1
HAPLN1,hyaluronan and proteoglycan link protein 1,1404.0,5
CRX,cone-rod homeobox,1406.0,19
CRY1,cryptochrome 1 (photolyase-like),1407.0,12
CRYAA,"crystallin, alpha A",1409.0,21
CRYAB,"crystallin, alpha B",1410.0,11
CRYBA1,"crystallin, beta A1",1411.0,17
CRYBA4,"crystallin, beta A4",1413.0,22
CRYBB1,"crystallin, beta B1",1414.0,22
CRYBB2,"crystallin, beta B2",1415.0,22
CRYBB3,"crystallin, beta B3",1417.0,22
CRYGA,"crystallin, gamma A",1418.0,2
CRYGB,"crystallin, gamma B",1419.0,2
CRYGC,"crystallin, gamma C",1420.0,2
CRYGD,"crystallin, gamma D",1421.0,2
CRYGS,"crystallin, gamma S",1427.0,3
CS,citrate synthase,1431.0,12
MAPK14,mitogen-activated protein kinase 14,1432.0,6
CSE1L,CSE1 chromosome segregation 1-like (yeast),1434.0,20
CSF1R,colony stimulating factor 1 receptor,1436.0,5
CSF2,colony stimulating factor 2 (granulocyte-macrophage),1437.0,5
CSF2RA,"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)",1438.0,X|Y
CSF2RB,"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)",1439.0,22
CSH2,chorionic somatomammotropin hormone 2,1443.0,17
CSN1S1,casein alpha s1,1446.0,4
CSN2,casein beta,1447.0,4
CSN3,casein kappa,1448.0,4
CSNK1G2,"casein kinase 1, gamma 2",1455.0,19
CSNK2B,"casein kinase 2, beta polypeptide",1460.0,6
VCAN,versican,1462.0,5
NCAN,neurocan,1463.0,19
CSPG4,chondroitin sulfate proteoglycan 4,1464.0,15
CSRP1,cysteine and glycine-rich protein 1,1465.0,1
CSRP2,cysteine and glycine-rich protein 2,1466.0,12
SLC25A10,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",1468.0,17
CST1,cystatin SN,1469.0,20
CST2,cystatin SA,1470.0,20
CST3,cystatin C,1471.0,20
CST5,cystatin D,1473.0,20
CST6,cystatin E/M,1474.0,11
CSTA,cystatin A (stefin A),1475.0,3
CSTB,cystatin B (stefin B),1476.0,21
CSTF2,"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa",1478.0,X
CSTF3,"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa",1479.0,11
NKX2-5,NK2 homeobox 5,1482.0,5
CTAG1B,cancer/testis antigen 1B,1485.0,X
CTBS,"chitobiase, di-N-acetyl-",1486.0,1
